id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
81	order	-0.7547	0.0593	1	64	129	11	2022.2727	8.0909	1.2724
82	organization	-0.9543	-0.0801	1	65	141	12	2022.0833	27.5	1.1636
83	outcome	-0.6139	0.1252	1	58	81	8	2023	2	0.6714
84	pandemic	-0.7296	-0.3726	1	63	101	11	2022.1818	4	0.4111
85	participant	-1.076	0.2315	1	45	53	7	2022.1429	6.4286	0.5444
86	particle	1.003	-0.0118	2	70	174	13	2022.4615	7.8462	0.4938
87	person	-0.5568	0.0037	1	71	139	14	2022	20.1429	1.2716
88	pet	0.9918	0.2287	2	54	90	8	2023.375	2.5	0.2067
89	plastic bottle	0.1843	0.4918	3	34	49	6	2021.1667	6.1667	0.7149
90	plastic litter	0.6366	0.2801	3	46	56	5	2022.8	5.8	0.6474
91	polyethylene	0.8382	0.0502	2	75	163	15	2022.2667	4.6667	0.4119
92	polyethylene terephthalate	1.1125	0.1536	2	51	93	7	2023	6.4286	0.4333
93	polymer type	1.1141	-0.0462	2	60	169	12	2022.6667	6.6667	0.4259
94	polypropylene	1.1173	-0.1579	2	59	126	9	2022.7778	6.5556	0.4183
95	potential	-0.669	0.3998	1	47	64	8	2022.375	25.5	1.7808
96	practice	-0.777	-0.05	1	79	223	23	2022.6957	14.0435	0.9406
97	presence	0.829	-0.3485	2	55	83	10	2022.4	7.8	0.4292
98	prevalence	0.9786	0.1368	3	61	130	11	2021.8182	12.9091	0.7738
99	project	-0.4753	-0.3195	1	47	58	7	2022.5714	3.7143	0.3205
100	publication	-0.2938	-0.3743	1	36	46	6	2022.8333	5.8333	1.0806
101	range	1.0949	0.0181	2	54	107	9	2021.5556	11.1111	0.9551
102	recommendation	-0.3422	-0.347	1	40	56	8	2022.5	14.5	0.6352
103	reduction	-1.0183	0.095	1	47	84	7	2021.4286	33.2857	1.4108
104	resident	-0.6138	-0.5124	1	35	46	6	2021.1667	4.6667	0.856
105	response	-1.0435	-0.0427	1	45	61	8	2022.25	2.75	0.4691
106	river	0.5749	0.0361	3	76	164	15	2021.8	11.1333	0.7316
107	role	-0.5508	0.125	1	74	143	16	2022.625	8.5625	1.091
108	sample	0.682	0.0408	2	96	329	31	2022.8065	4.4516	0.4292
109	sampling station	1.3542	-0.1236	2	51	109	7	2022.7143	5	0.6933
110	sea	0.4222	0.4343	3	44	49	7	2021.4286	3.2857	0.2597
111	sediment	1.0078	-0.0377	2	62	135	12	2022.5833	6.4167	0.4269
112	single use plastic	-0.839	0.1178	1	66	142	11	2023.0909	1.0909	0.2153
113	site	0.7571	-0.1431	2	79	167	16	2021.9375	8.875	0.684
114	size	0.4675	-0.0441	2	92	188	18	2022.8333	4.8333	0.404
115	society	-0.8149	-0.2042	1	65	109	11	2022.1818	25	1.2953
116	solid waste management	0.2497	-0.3847	3	40	53	6	2022.6667	7.8333	0.1723
117	solution	-0.5992	-0.046	1	92	230	25	2022.6	30.16	2.1433
118	species	0.5506	-0.2068	2	65	103	12	2022.4167	7.5833	1.0678
119	spectroscopy	1.1613	-0.0294	2	64	193	13	2022.4615	7.1538	0.6103
120	student	-0.9969	0.0127	1	57	139	15	2022.6667	0.7333	0.1239
121	support	-0.9936	0.0362	1	54	134	10	2022.6	29.6	1.9406
122	surface water	1.2409	-0.0549	2	53	101	9	2022.4444	9.2222	0.6398
123	sustainability	-0.6418	-0.05	1	85	158	19	2022.2632	17.2632	1.0761
124	sustainable practice	-1.1951	0.0322	1	41	87	6	2022.1667	33.8333	1.9036
125	technology	-0.8488	-0.0729	1	57	114	15	2022.5333	14.1333	1.539
126	tensile strength	0.1363	0.433	4	35	55	8	2022	4.375	0.4228
127	total	0.4988	-0.2299	2	79	154	17	2022.6471	8.8235	1.307
128	transition	-1.2135	-0.0171	1	32	51	6	2022.8333	63.5	4.174
129	usage	-0.8961	0.2925	1	45	60	7	2022	11.7143	0.8707
130	variation	0.7618	0.3369	3	55	78	7	2022.7143	6.8571	0.8514
131	volume	-0.9553	-0.3864	1	32	40	6	2021.8333	17.8333	0.3433
132	waste management	-0.578	-0.2616	1	63	90	12	2022.6667	23.25	2.5135
133	water sample	1.0173	0.084	2	53	70	6	2023	8.3333	1.156
134	way	-0.57	0.0793	1	78	161	15	2022.2667	3.1333	0.4092
135	weight	0.8652	-0.1843	2	62	104	10	2022.4	5.3	0.522
136	world	-0.382	0.0464	1	96	209	18	2022.2778	13.5556	1.3464
