Station-Code,Station-Lat,Station-Lon,Sample,Habitat,Region,Province,City,Highly-Urbanized,Sampling-Year,Election-Flag,"Voter-Precinct-Cluster-Ratio_2016,19,22",Macro_Count,Waste-Generation_City-Munic,Sampling-Start,Sampling-End,Monsoon,River_dist_endpoint_km,River_dist_startpoint_km,River_dist_min_km,KBA_dist_km,Landfill_dist_km,Trigger_species,Basin_HubName,Catchment_area_km2,G_catchment_mean,Elevation_sd,Stream_length_total_km_so1,Stream_number_all,Basin_length_km_constrained,Basin_elongation_ratio_constrained,Basin_drainage_density,Basin_length_overland_flow,Popu_dens_city_2020,Population_region_2020,"Poverty_prov-city_2018,21,23",HDI_2015,GRDP_2017-22,GRDP_percapita_2017-22,"Gini_2015,18,21",Metro_Manila,"Income-Gap_2015,18,21",Labor-Participation_2017-22,Sanitation-Level_2020,GVA_AFF_2017-2022,AFF_2017-2022,GVA_AFF_2017-2022,AFSA_2017-2022
ACO2022A08,5.904,125.0819444,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,47,33.6951000,8/11/21,9/4/21,Southeast,3.239156558,0.78553122,0.78553122,51.53397882,17.91252172,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A09,5.902055556,125.0800833,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,43,33.6951000,8/11/21,9/4/21,Southeast,2.956369158,0.566302054,0.566302054,51.74855857,18.01172698,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A10,5.900555556,125.0791667,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,34,33.6951000,8/11/21,9/4/21,Southeast,2.792407553,0.434758396,0.434758396,51.9145187,18.03841504,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A11,5.871833333,125.0848611,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,23,33.6951000,8/11/21,9/4/21,Southeast,3.740767283,2.279508285,2.279508285,55.0933388,16.42270146,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A12,5.869138889,125.0827778,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,19,33.6951000,8/11/21,9/4/21,Southeast,3.723849857,2.524781337,2.524781337,55.38953211,16.57855952,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A13,5.863694444,125.0793889,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,19,33.6951000,8/11/21,9/4/21,Southeast,3.864580146,2.512330938,2.512330938,55.99079829,16.82536508,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
ACO2022A14,5.861611111,125.0771389,Beach Surface Litter,Beach,Region XII (SOCCSKSARGEN),Sarangani,Maasim,No,2021,FALSE,756.5,22,33.6951000,8/11/21,9/4/21,Southeast,3.887372979,2.214416152,2.214416152,56.22203657,17.03082039,11,Siguel,355.5188,23.326981,364.2767,188.92735,74,42.469624,0.50096565,0.80988491,0.61737168,129.7683992,"4,901,486",0.41,0.407,503888.631,0.102803238,0.4181,No,0.278,0.677,0.96911,141691.564,0.281196192,10686.259,0.021207581
BIN2019A0X,11.33811652,124.1152219,Beach Surface Litter,Beach,Region VII (Central Visayas),Cebu,Daanbantayan,No,2017,FALSE,669.5248401,588,46.7510000,2017-07-00,2017-08-00,Southeast,10.47859478,12.81169978,10.47859478,49.7861617,52.64105655,14,Pagsangahan,461.66559,9.9502707,216.39183,236.3696,134,31.513123,0.76935607,1.017436,0.49143139,1013.352119,"8,081,988",0.19,0.668,1067272.679,0.132055712,0.4645,No,0.276,0.65,0.931476,75789.067,0.071011906,32813.025,0.030744744
ESQ2020A01,8.520472,124.612694,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,67,509.8814000,2019-03-00,2019-04-00,Northeast,2.760217972,0.543960263,0.543960263,55.41334614,14.15387891,16,Iponan,417.21909,19.342167,219.24884,182.59488,72,40.680443,0.56656724,0.83336991,0.59997368,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
ESQ2020A02,8.520472,124.61275,Beach Surface Litter,Beach,Region X (Northern Mindanao),Misamis Oriental,City of Cagayan de Oro,Yes,2019,TRUE,760.3043137,33,509.8814000,2019-03-00,2019-04-00,Northeast,2.76638176,0.544986476,0.544986476,55.40774722,14.15652102,16,Iponan,417.21909,19.342167,219.24884,182.59488,72,40.680443,0.56656724,0.83336991,0.59997368,1764.539729,"5,022,768",0.09,0.708,885223.985,0.17624226,0.4059,No,0.19,0.687,0.969305,182869.141,0.206579514,25218.266,0.028488006
