Station_Code,latitude,longitude,Hub distance river attributes_HubName,Hub distance river attributes_HubDist
SAJ2021A08,9.660433,118.74025,Rizal,78289.56454
SAJ2021A09,9.606767,118.701583,Rizal,85582.49621
SAJ2021A10,9.57165,118.68055,Rizal,90072.18301
SAJ2021A11,9.544417,118.653483,Rizal,94268.11153
SAJ2021A12,10.197717,118.9028,Rizal,23285.95568
SAJ2021A13,10.075633,118.818217,Rizal,38189.45564
SAJ2021A14,10.073283,118.816283,Rizal,38514.94995
SAJ2021A16,9.8741,118.607917,Rizal,70122.05583
SAJ2021A18,9.75915,118.509483,Rizal,86616.42013
SAJ2021A20,9.7267,118.453567,Rizal,93589.45571
ARA2023A01,7.300175,125.84796,Tagum,14038.04208
ARA2023A02,7.293677,125.847291,Tagum,14425.00455
ARA2023A03,7.270109,125.840647,Tagum,15712.45069
ARA2023A04,7.243546,125.842797,Tagum,18157.68479
CAP2023A01,9.839113333,123.374075,Ilog_Hilabangan,32880.24718
CAP2023A04,9.839365,123.3728767,Ilog_Hilabangan,32750.63996
CAP2023A05,9.839346667,123.3730017,Ilog_Hilabangan,32763.75679
CAP2023A06,9.840071667,123.3732683,Ilog_Hilabangan,32753.12585
CAP2023A07,10.11634667,123.4910933,Binalbagan,31471.20411
CAP2023A08,10.11618833,123.4914417,Binalbagan,31513.02956
CAP2023A09,10.11666,123.4922433,Binalbagan,31578.83331
CAP2023A10,10.116815,123.490895,Binalbagan,31433.62078
CAP2023A11,10.11677667,123.4909983,Binalbagan,31445.70694
CAP2023A12,10.11676833,123.4917233,Binalbagan,31521.06328
CAP2023A13,11.05933333,123.9928,Pagsangahan,48797.41296
CAP2023A14,11.0591,123.9928833,Pagsangahan,48796.49329
CAP2023A15,11.05895,123.99295,Pagsangahan,48794.54017
CAP2023A16,11.05903333,123.9934333,Pagsangahan,48741.40943
CAP2023A17,11.05886667,123.9935667,Pagsangahan,48733.07373
CAP2023A18,11.05866667,123.9938533,Pagsangahan,48709.90729
CAP2023A19,10.08334167,123.661805,Abatan,38503.52537
CAP2023A20,10.083165,123.6614917,Abatan,38514.26911
CAP2023A21,10.08332333,123.66112,Abatan,38555.59215
CAP2023A22,10.08262333,123.6616983,Abatan,38456.10809
CAP2023A23,10.08250833,123.6611217,Abatan,38492.29683
CAP2023A24,10.08271833,123.6614467,Abatan,38483.14255
CAP2023A25,10.58101667,124.0331,Inabanga,56880.08152
CAP2023A26,10.58093333,124.0329,Inabanga,56872.59094
CAP2023A27,10.58076667,124.0326833,Inabanga,56856.0645
CAP2023A28,10.581,124.0333,Inabanga,56876.55168
CAP2023A29,10.58088333,124.03325,Inabanga,56864.1072
CAP2023A30,10.58061667,124.0329833,Inabanga,56836.9615
CAP2023A31,11.11223833,124.0046133,Pagsangahan,46101.84538
CAP2023A32,11.11204,124.0043017,Pagsangahan,46139.45274
CAP2023A33,11.11160833,124.004465,Pagsangahan,46131.10624
CAP2023A34,11.11063833,124.0055283,Pagsangahan,46037.93675
CAP2023A35,11.11061167,124.0052783,Pagsangahan,46065.29892
CAP2023A36,11.11033333,124.0051117,Pagsangahan,46089.16357
CAP2023A37,10.96695,123.9232167,Pagsangahan,59590.25611
CAP2023A38,10.96711667,123.9233333,Pagsangahan,59570.97716
CAP2023A39,10.96728333,123.92345,Pagsangahan,59551.69094
CAP2023A40,10.96745,123.9227667,Pagsangahan,59611.88508
CAP2023A41,10.96753333,123.92305,Pagsangahan,59579.89577
CAP2023A42,10.96775,123.9232667,Pagsangahan,59548.37927
JAR2023A01,7.23901,125.64952,Lasang,3163.307247
JAR2023A02,7.18194,125.65345,Davao,7516.119573
JAR2023A03,7.03008,125.57382,Davao,4790.75489
JAR2023A04,7.03832,125.53524,Davao,7315.364367
JAR2023A05,7.01067,125.51017,Davao,11340.36121
JAR2023A06,7.25122,125.66442,Lasang,1200.910063
JAR2023A07,7.03876,125.57845,Davao,3760.721546
JAR2023A08,7.03834,125.53518,Davao,7319.819594
