Station_Code,latitude,longitude,dist_to_endpoint_m,dist_to_startpoint_m,KBA_dist_m,landfill_dist_m,KBA_Hub,landfill_Hub
INO2022A04,8.54883,126.2374,3475.523568,2417.02052,30338.82872,31037.35692,Mount Diwata Range,D.O. Plaza Cluster Slf And Eco-Park/ PLGU Agusan del Sur
KAL2019A01,8.518222222,124.5823056,574.8831881,3270.928698,58001.99526,12831.88867,Mount Kitanglad,Cagayan de Oro City
KAL2019A02,8.518186111,124.5823944,585.1712693,3260.839739,57992.90936,12830.059,Mount Kitanglad,Cagayan de Oro City
KAL2019A03,8.518169444,124.5824722,593.2456078,3252.1462,57986.26954,12830.08062,Mount Kitanglad,Cagayan de Oro City
KAL2019A04,8.571555556,124.5129167,2161.827377,3513.778206,63768.41913,9039.591806,Mount Balatukan,Laguindingan SLF
KAL2019A05,8.571755556,124.5126778,2195.980102,3516.324434,63787.61271,9023.695561,Mount Balatukan,Laguindingan SLF
KAL2019A06,8.571844444,124.5126417,2204.754245,3522.025602,63788.73006,9023.788057,Mount Balatukan,Laguindingan SLF
KAL2019A07,8.589941667,124.4732667,1786.631579,5386.094644,67477.75161,6769.488442,Mount Balatukan,Laguindingan SLF
KAL2019A08,8.589702778,124.472875,1819.090777,5380.799364,67525.79751,6722.725185,Mount Balatukan,Laguindingan SLF
KAL2019A09,8.588938889,124.4752417,1545.209899,5195.274189,67291.91989,6812.709101,Mount Balatukan,Laguindingan SLF
PAC2022A01,7.8181,123.7127,1631.497417,2371.10704,39304.11794,2347.510969,Munai / Tambo,Sultan Naga Dimaporo SLF
PAC2022A02,7.8164,123.6917,2752.254982,959.432921,41460.76291,2766.206608,Munai / Tambo,Sultan Naga Dimaporo SLF
PAC2022A03,7.7932,123.7254,2598.867106,589.9884007,39434.03292,5432.135165,Munai / Tambo,Sultan Naga Dimaporo SLF
PAC2022A04,7.7646,123.7395,2815.296001,3807.9713,39922.07942,8956.222674,Munai / Tambo,Sultan Naga Dimaporo SLF
PAL2019A01,13.980147,120.630093,3684.849006,1196.233925,30165.99259,13966.64675,Mounts Palay-Palay-Mataas Na Gulod National Park,LGU of Tuy
PAL2022A01,9.717665,123.464748,758.4461158,687.9895676,12742.62126,16415.08052,Mount Kangbulagsing and Mount Lanaya,LGU Alburqurque
PAL2022A02,9.841909,123.419511,741.1295981,1526.224747,15688.43821,1823.723482,Nug-as and Mount Lantoy,LGU Alburqurque
PAL2022A03,10.480374,123.775069,503.6306306,5178.018904,12221.14878,8464.46319,Central Cebu (including Tabunan),LGU Asturias
PAL2022A04,10.112797,123.530685,1022.157782,744.1556816,23632.08073,11846.06864,Nug-as and Mount Lantoy,San Rafael Moreno SLF
PAL2022A05,11.025159,123.997823,125.7812732,1165.239428,48880.9612,55408.78994,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
PAL2022A06,10.400561,123.948996,1371.230484,795.3702286,8136.678973,2779.631247,"Mactan, Kalawisan and Cansaga Bays",Asian Energy System Inc.
PAL2022A07,10.340974,123.94301,4142.493341,2382.74002,3195.591775,8497.799429,"Mactan, Kalawisan and Cansaga Bays",Prime Integrated Waste Solutions Inc. (Formerly ARN Central Waste Management Inc.)
PAL2022A08,10.121941,123.632131,2047.927029,1714.134564,26147.75998,11369.38003,Nug-as and Mount Lantoy,San Rafael Moreno SLF
PAL2022A09,10.608895,123.975982,1985.720676,920.5412057,6472.947985,21056.1717,Mount Capayas,Asian Energy System Inc.
PAL2022A10,11.220019,124.018067,2363.465167,646.3421529,65970.33982,56061.18734,Biliran and Maripipi Island,Sanitary Landfill Project/LGU Ormoc City
PAL2022A11,11.144488,123.986322,1093.405043,1286.345491,61761.17152,57372.75592,Mount Capayas,Sanitary Landfill Project/LGU Ormoc City
PAL2022A12,10.266548,123.617942,802.7701761,1620.398493,20207.15443,2743.153381,Central Cebu (including Tabunan),LGU Pinamungajan
PAL2022A13,10.983521,123.940712,930.7104284,1354.589797,43587.50869,51332.93291,Mount Capayas,LGU Balamban
PAL2022A14,10.030107,123.58191,212.7510444,1708.399379,14810.07403,19829.36614,Nug-as and Mount Lantoy,San Rafael Moreno SLF
PLT2022A01,16.3342285,119.789863,1972.403779,3429.047446,90869.83315,9545.382772,Zambales mountains,"Local Government  of Bolina, Pangasinan"
PLT2022A02,16.3338885,119.789541,2023.374049,3448.872622,90851.65662,9585.525635,Zambales mountains,"Local Government  of Bolina, Pangasinan"
PLT2022A03,13.804202,120.911121,706.6750519,85.87510583,24712.47474,4606.196984,Taal Volcano Protected Landscape,"Bauan Solid Waste Management, Inc."
PLT2022A04,13.804473,120.912174,592.3141663,134.3118598,24640.7875,4493.721391,Taal Volcano Protected Landscape,"Bauan Solid Waste Management, Inc."
PLT2022A05,9.934805556,118.6452778,1116.249802,511.1967626,39795.64523,84701.25209,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
PLT2022A06,9.7265,118.4546667,4614.770576,646.3165622,41917.78298,83713.76709,Victoria and Anepahan Ranges,Municipal Sanitary Landfill Project
PLT2022A07,9.546027778,118.6539722,1182.162738,284.592878,42120.45136,90055.09307,Rasa Island Wildlife Sanctuary,Municipal Sanitary Landfill Project
PLT2022A08,10.02525,119.1219167,341.6270647,3467.720114,27315.48862,38393.01815,Puerto Princesa Subterranean River Natural Park / Cleopatra's Needle,Roxas Sanitary  Landfill
PLT2022A09,13.77014167,121.0280167,1269.013227,730.0955165,26709.73066,5873.647156,Taal Volcano Protected Landscape,LGU of San Pascual
PLT2022A10,13.67039722,121.0536333,1966.940176,156.5778817,23117.68676,15279.24097,Puerto Galera,"SURI Waste Management and Disposal Services, Incorporated"
PLT2022A11,13.73667222,121.0562917,665.1339623,710.870491,29536.15093,9425.349316,Puerto Galera,LGU of San Pascual
PLT2022A12,14.50194583,120.9925513,158.5025001,190.4973709,39003.9235,16703.58106,Manila Bay,LGU of Dasmarinas
PLT2022A13,14.588505,120.954974,1122.980054,1094.10993,29083.64008,12877.24081,Manila Bay,Phil Ecology Systems Corp. (PhilEco)
