term,cluster,centrality,density
increased,3,594640,805.5898491083676
environments,0,791320,1214.8341049382716
single,2,615140,559.1313634745461
respectively,0,791320,1214.8341049382716
dominant,0,791320,1214.8341049382716
material,2,615140,559.1313634745461
oceans,2,615140,559.1313634745461
ecological,3,594640,805.5898491083676
source,2,615140,559.1313634745461
factors,2,615140,559.1313634745461
ftir,0,791320,1214.8341049382716
color,0,791320,1214.8341049382716
aquatic,0,791320,1214.8341049382716
fibers,0,791320,1214.8341049382716
important,0,791320,1214.8341049382716
mean,0,791320,1214.8341049382716
practices,2,615140,559.1313634745461
beach,1,342080,992.9705215419501
organisms,3,594640,805.5898491083676
waters,0,791320,1214.8341049382716
determine,2,615140,559.1313634745461
limited,1,342080,992.9705215419501
strategies,3,594640,805.5898491083676
new,3,594640,805.5898491083676
levels,0,791320,1214.8341049382716
polymers,0,791320,1214.8341049382716
polypropylene,0,791320,1214.8341049382716
largest,0,791320,1214.8341049382716
compared,2,615140,559.1313634745461
biodiversity,3,594640,805.5898491083676
10,0,791320,1214.8341049382716
concern,2,615140,559.1313634745461
bags,2,615140,559.1313634745461
spectroscopy,0,791320,1214.8341049382716
characteristics,0,791320,1214.8341049382716
analyzed,0,791320,1214.8341049382716
riverine,2,615140,559.1313634745461
international,3,594640,805.5898491083676
followed,0,791320,1214.8341049382716
mindanao,2,615140,559.1313634745461
consumption,2,615140,559.1313634745461
asian,3,594640,805.5898491083676
methods,0,791320,1214.8341049382716
life,2,615140,559.1313634745461
large,0,791320,1214.8341049382716
current,1,342080,992.9705215419501
design,2,615140,559.1313634745461
infrared,0,791320,1214.8341049382716
results showed,2,615140,559.1313634745461
site,0,791320,1214.8341049382716
time,2,615140,559.1313634745461
increasing,3,594640,805.5898491083676
malaysia,3,594640,805.5898491083676
polymer types,0,791320,1214.8341049382716
clean,1,342080,992.9705215419501
human health,3,594640,805.5898491083676
blue,0,791320,1214.8341049382716
number,2,615140,559.1313634745461
measures,2,615140,559.1313634745461
method,0,791320,1214.8341049382716
known,1,342080,992.9705215419501
abundant,0,791320,1214.8341049382716
worlds,2,615140,559.1313634745461
despite,3,594640,805.5898491083676
emerging,0,791320,1214.8341049382716
microplastic contamination,0,791320,1214.8341049382716
solid management,2,615140,559.1313634745461
fiber,0,791320,1214.8341049382716
pandemic,3,594640,805.5898491083676
model,2,615140,559.1313634745461
change,3,594640,805.5898491083676
macroplastic,1,342080,992.9705215419501
19,3,594640,805.5898491083676
respondents,2,615140,559.1313634745461
covid,3,594640,805.5898491083676
increase,2,615140,559.1313634745461
covid 19,3,594640,805.5898491083676
social,3,594640,805.5898491083676
macroplastics,1,342080,992.9705215419501
